id,description,tags,price,weight,origin,dest,gift,label_id,price_bin,weight_bin
193,Vitamin C brightening cream 60ml,"cosmetics,skincare,cream,brightening,face",19.0,0.16,CA,US,0,7,0-25,0-0.25
245,Student desktop PC 8GB/256GB,"electronics,computer,desktop,student,ssd",649.0,6.5,CA,US,0,9,200+,2+
211,USB rechargeable mini fan,"electronics,battery,fan,portable,rechargeable",14.0,0.18,CA,US,0,11,0-25,0-0.25
259,Gaming ultrabook 16GB/1TB,"electronics,computer,laptop,gaming,ssd",1599.0,1.95,CA,US,0,9,200+,1-2
447,Rechargeable compact flashlight,"electronics,battery,flashlight,compact",18.0,0.12,CA,US,0,11,0-25,0-0.25
492,Women's knit cardigan size S,"apparel,cardigan,knit,women,clothing",38.0,0.52,CA,US,0,3,25-50,0.5-1
114,Carry-on travel backpack 40L,"bags,luggage,backpack,travel,outdoor",75.0,0.85,CA,US,0,14,50-100,0.5-1
329,Rechargeable mini spotlight,"electronics,battery,spotlight,rechargeable",17.0,0.12,CA,US,0,11,0-25,0-0.25
361,Rechargeable mini desk lamp,"electronics,battery,lamp,desk,rechargeable",19.0,0.22,CA,US,0,11,0-25,0-0.25
188,Women's thermal leggings size L,"apparel,leggings,thermal,women,clothing",28.0,0.33,CA,US,0,3,25-50,0.25-0.5
136,Portable CD radio player,"electronics,audio,player,cd,radio",52.0,1.1,CA,US,0,18,50-100,1-2
261,Rechargeable clip-on reading light,"electronics,battery,light,reading,clip_on",15.0,0.08,CA,US,0,11,0-25,0-0.25
115,Plastic dishware set (16 pcs),"kitchen,plastic,dishware,plates,cups",24.0,1.1,CA,US,0,15,0-25,1-2
238,Women's active yoga leggings size XL,"apparel,leggings,yoga,women,clothing",29.0,0.38,CA,US,0,3,25-50,0.25-0.5
324,Classic detective novel 290 pages,"books,printed,paperback,reading,detective",12.0,0.33,CA,US,0,6,0-25,0.25-0.5
90,32-inch office monitor,"electronics,monitor,display,32_inch",259.0,6.0,CA,US,0,19,200+,2+
161,Rechargeable LED book light,"electronics,battery,light,reading,rechargeable",16.0,0.09,CA,US,0,11,0-25,0-0.25
478,Historical memoir 350 pages,"books,printed,paperback,reading,memoir",12.0,0.42,CA,US,0,6,0-25,0.25-0.5
381,Large roller suitcase 30 inch,"bags,luggage,travel,suitcase,large",189.0,5.3,CA,US,0,14,100-200,2+
171,Stereo desktop speakers,"electronics,audio,speaker,stereo,desktop",89.0,1.3,CA,US,0,1,50-100,1-2
156,Detective mystery novel 310 pages,"books,printed,paperback,reading,mystery",12.0,0.32,CA,US,0,6,0-25,0.25-0.5
355,Kids wooden shape sorter toy,"toys,wooden,children,shapes,educational",18.0,0.75,CA,US,0,5,0-25,0.5-1
186,26-inch IPS office monitor,"electronics,monitor,display,26_inch",169.0,4.1,CA,US,0,19,100-200,2+
327,Office computer tower 16GB/512GB,"electronics,computer,desktop,office,ssd",899.0,7.5,CA,US,0,9,200+,2+
495,Kids chemistry science kit,"toys,science,children,chemistry,educational",28.0,0.9,CA,US,0,5,25-50,0.5-1
354,Cordless demolition hammer 20V,"tools,power_tool,hammer,demolition,cordless",229.0,3.6,CA,US,0,2,200+,2+
184,Retro game console mini edition,"electronics,gaming,console,retro",59.0,0.35,CA,US,0,17,50-100,0.25-0.5
35,15-inch work laptop 16GB RAM 512GB SSD,"electronics,computer,laptop,business,brand_generic",1299.0,1.9,CA,US,0,9,200+,1-2
218,31-inch IPS office monitor,"electronics,monitor,display,31_inch",239.0,4.8,CA,US,0,19,200+,2+
162,Women's cocktail dress size S,"apparel,dress,women,cocktail,clothing",85.0,0.38,CA,US,0,13,50-100,0.25-0.5
346,Chocolate mint truffle box 150g,"food,chocolate,snack,truffle,mint",7.0,0.22,CA,US,0,10,0-25,0-0.25
378,Chocolate almond clusters 180g,"food,chocolate,snack,almond",6.0,0.2,CA,US,0,10,0-25,0-0.25
436,24-inch IPS home monitor,"electronics,monitor,display,24_inch",169.0,3.4,CA,US,0,19,100-200,2+
109,Modern wooden nightstand,"furniture,nightstand,wood,home,bedroom",159.0,7.2,CA,US,0,8,100-200,2+
440,Cordless sheet sander 18V,"tools,power_tool,sander,sheet,cordless",129.0,1.6,CA,US,0,2,100-200,1-2
421,Wireless home speaker tower,"electronics,audio,speaker,tower,wireless",219.0,6.2,CA,US,0,1,200+,2+
163,Expandable travel duffel bag,"bags,luggage,duffel,travel,expandable",49.0,0.7,CA,US,0,14,25-50,0.5-1
183,Holiday themed postcard pack (12 pcs),"paper,card,postcard,holiday",11.0,0.12,CA,US,0,16,0-25,0-0.25
113,Women's floral summer dress size XS,"apparel,dress,women,floral,summer",49.0,0.3,CA,US,0,13,25-50,0.25-0.5
31,Women’s running shoes size 8,"apparel,shoes,sneakers,running,textile_upper,women",105.0,0.78,CA,US,0,4,100-200,0.5-1
405,Kids wooden stacking rings,"toys,wooden,children,stacking,educational",16.0,0.5,CA,US,0,5,0-25,0.25-0.5
392,Historical war novel 520 pages,"books,printed,paperback,reading,history",16.0,0.6,CA,US,0,6,0-25,0.5-1
134,Vintage art postcards (12 pcs),"paper,card,postcard,vintage,art",12.0,0.1,CA,US,0,16,0-25,0-0.25
379,Rechargeable floodlight,"electronics,battery,floodlight,rechargeable",32.0,0.3,CA,US,0,11,25-50,0.25-0.5
52,Plastic food containers set (12 pcs),"kitchen,plastic,containers,storage",16.0,0.75,CA,US,0,15,0-25,0.5-1
7,DeWalt 20V compact impact driver,"tools,power_tool,driver,cordless,brand_dewalt",229.0,1.6,CA,US,0,2,200+,1-2
310,Milk chocolate squares box 150g,"food,chocolate,snack,box",5.0,0.14,CA,US,0,10,0-25,0-0.25
13,Paperback fiction novel 300 pages,"books,printed,paperback,reading,english",16.0,0.45,CA,US,0,6,0-25,0.25-0.5
1,Apple iPhone 14 128GB smartphone,"electronics,phone,smartphone,cellular,touchscreen,brand_apple",999.0,0.4,CA,US,0,0,200+,0.25-0.5
23,Make-up kit with brushes,"cosmetics,makeup,kit,brushes,beauty",35.0,0.4,CA,US,1,7,25-50,0.25-0.5
243,Aloe soothing face cream 80ml,"cosmetics,skincare,cream,face,soothing",18.0,0.2,CA,US,0,7,0-25,0-0.25
42,Women's fashion sneakers size 7,"footwear,shoes,sneakers,fashion,women",79.0,0.7,CA,US,0,4,50-100,0.5-1
221,Premium Bluetooth bookshelf speakers,"electronics,audio,speaker,bookshelf,premium",169.0,4.1,CA,US,0,1,100-200,2+
395,Office desktop PC 32GB/1TB SSD,"electronics,computer,desktop,office,ssd",1299.0,7.9,CA,US,0,9,200+,2+
374,Adventure fantasy book 360 pages,"books,printed,paperback,reading,fantasy",13.0,0.45,CA,US,0,6,0-25,0.25-0.5
401,Men's graphic T-shirt size L,"apparel,shirt,tshirt,graphic,men,clothing",21.0,0.26,CA,US,0,3,0-25,0.25-0.5
467,Wheeled travel case 27 inch,"bags,luggage,travel,suitcase,wheeled",159.0,4.1,CA,US,0,14,100-200,2+
398,Women's satin wrap dress size S,"apparel,dress,women,satin,wrap",85.0,0.32,CA,US,0,13,50-100,0.25-0.5
119,34-inch ultrawide monitor,"electronics,monitor,display,34_inch",429.0,8.1,CA,US,0,19,200+,2+
32,Fantasy novel box set 3 volumes,"books,printed,paperback,reading,english,fantasy",42.0,1.1,CA,US,0,6,25-50,1-2
